Departamento,Provincia,No usa electricidad,Sí usa electricidad,No usa gas (balón GLP),Sí usa gas (balón GLP),No usa gas natural,Sí usa gas natural,No usa carbón,Sí usa carbón,No usa leña,Sí usa leña,No usa bosta,estiércol,Sí usa bosta,estiércol,No usa otros (residuos agrícolas,etc.),Sí usa otros (residuos agrícolas,etc.),Sí cocinan,No cocinan
PUNO,MOHO,8963,40,6652,2351,9003,0,8982,21,3431,5572,5095,3908,8986,17,8934,69,,,,
PUNO,PUNO,75362,815,27566,48611,76177,0,75884,293,56356,19821,50283,25894,75878,299,75129,1048,,,,
PUNO,SAN ANTONIO DE PUTINA,12597,126,5839,6884,12723,0,12678,45,10942,1781,6850,5873,12683,40,12331,392,,,,
PUNO,SAN ROMÁN,90494,1644,13154,78984,92138,0,91525,613,75714,16424,81613,10525,91979,159,90551,1587,,,,
PUNO,SANDIA,20030,79,12677,7432,20109,0,20030,79,3355,16754,17208,2901,19860,249,19868,241,,,,
PUNO,YUNGUYO,14298,65,6703,7660,14363,0,14278,85,4904,9459,10808,3555,14158,205,14131,232,,,,
SAN MARTÍN,BELLAVISTA,14703,186,7485,7404,14889,0,14766,123,4999,9890,14888,1,14888,1,14463,426,,,,
SAN MARTÍN,EL DORADO,9321,84,5701,3704,9405,0,9315,90,1820,7585,9405,0,9405,0,9285,120,,,,
SAN MARTÍN,HUALLAGA,7969,110,3457,4622,8079,0,8046,33,2549,5530,8079,0,8078,1,7844,235,,,,
SAN MARTÍN,LAMAS,21691,381,11097,10975,22072,0,21835,237,5237,16835,22071,1,22069,3,21734,338,,,,
SAN MARTÍN,MARISCAL CÁCERES,16791,274,6112,10953,17065,0,16902,163,7095,9970,17065,0,17061,4,16589,476,,,,
SAN MARTÍN,MOYOBAMBA,33006,787,11681,22112,33793,0,33523,270,15040,18753,33792,1,33786,7,32570,1223,,,,
SAN MARTÍN,PICOTA,10862,83,4968,5977,10945,0,10791,154,3484,7461,10945,0,10941,4,10691,254,,,,
SAN MARTÍN,RIOJA,33646,448,12333,21761,34094,0,33851,243,14120,19974,34094,0,34088,6,32860,1234,,,,
SAN MARTÍN,SAN MARTÍN,51603,1693,11036,42260,53296,0,52235,1061,38092,15204,53296,0,53286,10,50054,3242,,,,
SAN MARTÍN,TOCACHE,18520,506,6985,12041,19026,0,18920,106,9016,10010,19026,0,19023,3,18524,502,,,,
TACNA,CANDARAVE,2551,25,1868,708,2576,0,2565,11,327,2249,1687,889,2568,8,2546,30,,,,
TACNA,JORGE BASADRE,2470,698,1417,1751,3168,0,3125,43,1915,1253,3167,1,3163,5,3049,119,,,,
TACNA,TACNA,93554,2715,10895,85374,96269,0,94426,1843,83870,12399,96263,6,96192,77,93231,3038,,,,
TACNA,TARATA,2440,25,1832,633,2465,0,2459,6,325,2140,2374,91,2461,4,2424,41,,,,
TUMBES,CONTRALMIRANTE VILLAR,5680,110,1034,4756,5790,0,4870,920,4735,1055,5790,0,5790,0,5574,216,,,,
TUMBES,TUMBES,41377,1506,4651,38232,42883,0,41037,1846,37890,4993,42883,0,42875,8,41145,1738,,,,
TUMBES,ZARUMILLA,13636,289,1818,12107,13925,0,13631,294,11535,2390,13925,0,13924,1,13164,761,,,,
UCAYALI,ATALAYA,12227,87,8500,3814,12314,0,12064,250,3172,9142,12314,0,12305,9,11972,342,,,,
UCAYALI,CORONEL PORTILLO,91586,2017,20452,73151,93603,0,86264,7339,63982,29621,93603,0,93571,32,91222,2381,,,,
UCAYALI,PADRE ABAD,15483,168,5595,10056,15651,0,15359,292,7604,8047,15651,0,15645,6,15196,455,,,,
UCAYALI,PURÚS,687,1,572,116,688,0,600,88,178,510,688,0,688,0,670,18,,,,
